m65b,Koilpathagai Rd.Jn.,800
m65b,Polytechnic,900
m65b,Thirumullaivoayl,1000
m65b,Ambathur OT,1100
m65b,Dunlop,1200
m65b,Ambathur Estate,1300
s554,Saidapet,200
s554,Concorde,300
s554,Guindy R.S,400
s554,Butt Road,500
s554,Ramapuram,600
s554,Mogalivakkam,700
s554,Porur,800
s554,Ayyappan Thangal,900
s554,Kumunanchavadi,1000
s554,Poonamallee,1100
s554,Nazarathpet,1200
s554,Chembarambakkam,1300
s554,Pappanchatram,1400
s554,Chettipedu,1500
s554,Thandalam Koot Road,1600
s554,Sipcot,1700
s554,Irunkattukottai,1800
s554,Pennalur E.B.,1900
s554,Beemanthangal,2000
s554,Sriperumpudur,2100
m188c,High Court,100
m188c,Central,200
m188c,P.Or & Sons,300
m188c,T.V.S,400
m188c,D.M.S,500
m188c,S.H.B,600
m188c,Saidapet,700
m188c,Concorde,800
m188c,Guindy Tvk Estate,900
m188c,Butt Road,1000
m188c,Jn.Ofporur Poonam With Ma,1100
m188c,Manapakkam P.U.O,1200
m188c,Manapakkam Village,1300
m188c,Kolapakkam,1400
m188c,Murugan Koil / Girugambak,1500
m188c,Periyapanicheri,1600
m188c,Thandalam Rd Jn.,1700
m188c,Kundrathur B.S,1800
65a,Saidapet,100
65a,Concorde,200
65a,Guindy R.S,300
65a,Butt Road,400
65a,Ramapuram,500
65a,Mogalivakkam / Mari Ammn,600
65a,Porur,700
65a,Ayyappan Thangal,800
65a,Kumunanchavadi,900
65a,Poonamallee,1000
65a,Varadaraja Puram,1100
65a,Thirumalisai,1200
29l,Periyar Nagar,100
29l,Agaram,200
29l,Veenus,300
29l,Perambur B.S,400
29l,Ganesh Puram,500
29l,P1.Police Station,600
29l,Doveton,700
29l,Dasaprakash,800
29l,Egmore,900
29l,Anna Road P.O./Dams Road,1000
29l,T.V.S,1100
29l,D.M.S,1200
29l,S.H.B,1300
29l,Saidapet,1400
29l,Concorde,1500
29l,Eng.College,1600
29l,Adayar B.S.,1700
29l,Adayar Depot,1800
29l,Thiruvanmiyur,1900
29n,Perambur B.S,100
29n,Jamalaya,200
29n,Dasamahan,300
29n,Doveton,400
29n,Lady Mctm School/Millers,500
29n,K.M.C,600
29n,Sterling Rd/Meteorology D,700
29n,D.M.S,800
29n,Pondy Bazaar,900
29n,Saidapet,1100
29n,Concorde,1200
29n,Jn.Of Race Course Rd,1300
29n,Gurunanak College,1400
29n,Velachery,1500
s46,T.V.K.Nagar,100
s46,Veenus,200
s46,Jamalaya,300
s46,Sayani/Aynavaram,400
s46,Kamabar Arangam,500
s46,Anna Nagar,600
s46,Naduvankarai,700
s46,Arumbakkam,800
s46,C.M.B.T.,900
54tcu,Saidapet,200
54tcu,Concorde,300
54tcu,Guindy R.S,400
54tcu,Butt Road,500
54tcu,Ramapuram,600
54tcu,Mogalivakkam / Mari Ammn,700
54tcu,Porur,800
54tcu,Ayyappan Thangal,900
54tcu,Kumunanchavadi,1000
54tcu,Poonamallee,1100
54tcu,Varadaraja Puram,1200
54tcu,Chembarambakkam,1300
sp56d,Broadway,100
sp56d,Parrys,200
sp56d,Clive Battery,300
sp56d,Royapuram P.S,400
sp56d,Tondaiayrpet,500
